postcodes,district,county,district_county,total,agriculture_animal_production_hunting_forestry_and_fishing,extractive_industries,manufacturing_industries,electricity_gas_steam_hot_and_cold_water_and_cold air,water_collection_treatment_and_distribution,construction,wholesale_and_retail_trade,transport_and_storage,accommodation_catering_and_similar,information_and_communication_activity,real_estate_activities,consulting_scientific_technical_and_similar_activities,administrative_activities_and_support_services,education,human_health_and_social_support_activities,artistic_concert_sporting_and_recreational_activities,other_service_activities
3750,Aveiro,Águeda,Aveiro_Águeda,0.004132185403554278,2.3030028095242733e-4,4.1746274492887135e-6,5.120876337794155e-4,4.313781697598337e-5,4.1746274492887135e-6,3.8545726781765783e-4,8.356212610992908e-4,5.4965928082301385e-5,2.2055948357075367e-4,4.80082156668202e-5,1.1549802609698773e-4,3.541475619479925e-4,6.032336664222191e-4,1.5654852934832673e-4,2.532607319235153e-4,1.1758533982163209e-4,1.9342440515037704e-4
3754,Aveiro,Águeda,Aveiro_Águeda,0.004132185403554278,2.3030028095242733e-4,4.1746274492887135e-6,5.120876337794155e-4,4.313781697598337e-5,4.1746274492887135e-6,3.8545726781765783e-4,8.356212610992908e-4,5.4965928082301385e-5,2.2055948357075367e-4,4.80082156668202e-5,1.1549802609698773e-4,3.541475619479925e-4,6.032336664222191e-4,1.5654852934832673e-4,2.532607319235153e-4,1.1758533982163209e-4,1.9342440515037704e-4
3850,Aveiro,Albergaria-a-Velha,Aveiro_Albergaria-a-Velha,0.0020657448161563647,1.774216665947703e-4,6.957712415481189e-7,1.8716246397644396e-4,1.1132339864769902e-5,2.0873137246443567e-6,1.732470391454816e-4,4.327697122429299e-4,3.896318952669466e-5,1.1688956858008396e-4,3.061393462811723e-5,6.192364049778257e-5,1.809005228025109e-4,2.873535227593731e-4,8.905871891815922e-5,1.3010922216949824e-4,5.287861435765703e-5,9.253757512589981e-5
3780,Aveiro,Anadia,Aveiro_Anadia,0.00277403994005235,4.0424309133945703e-4,0,2.6717615675447766e-4,3.1309705869665346e-05,4.1746274492887135e-6,2.588269018559002e-4,4.4877245079853663e-4,4.035473200979089e-5,1.3358807837723883e-4,2.2264679729539804e-5,6.888135291326376e-5,2.51869189440419e-4,3.7154184298669545e-4,9.9495287541381e-5,1.9481594763347328e-4,6.679403918861942e-5,1.0993185616460277e-4
4540,Aveiro,Arouca,Aveiro_Arouca,0.0018584049861750255,2.9709432014104673e-4,2.0873137246443567e-6,1.739428103870297e-4,9.045026140125545e-6,1.3915424830962378e-6,2.4560724826648594e-4,2.6856769923757387e-4,4.5225130700627724e-5,1.3915424830962376e-4,1.3915424830962377e-5,3.4092790835857824e-5,1.1341071237234337e-4,2.2334256853694614e-4,5.287861435765703e-5,1.1758533982163209e-4,3.618010456050218e-5,8.48840914688705e-5
3810,Aveiro,Aveiro,Aveiro_Aveiro,0.007990236937938594,2.3169182343552359e-4,4.870398690836832e-6,3.847614965761097e-4,5.7749013048493864e-5,5.566169932384951e-6,4.578174769386622e-4,0.0012092504178106305,2.031652025320507e-4,5.489635095814658e-4,2.3795376460945664e-4,3.409279083585782e-4,0.0010339160649405045,0.0014158944765504217,5.260030586103779e-4,6.707234768523866e-4,2.5604381688970775e-4,4.049388625810052e-4
3800,Aveiro,Aveiro,Aveiro_Aveiro,0.007990236937938594,2.3169182343552359e-4,4.870398690836832e-6,3.847614965761097e-4,5.7749013048493864e-5,5.566169932384951e-6,4.578174769386622e-4,0.0012092504178106305,2.031652025320507e-4,5.489635095814658e-4,2.3795376460945664e-4,3.409279083585782e-4,0.0010339160649405045,0.0014158944765504217,5.260030586103779e-4,6.707234768523866e-4,2.5604381688970775e-4,4.049388625810052e-4
3804,Aveiro,Aveiro,Aveiro_Aveiro,0.007990236937938594,2.3169182343552359e-4,4.870398690836832e-6,3.847614965761097e-4,5.7749013048493864e-5,5.566169932384951e-6,4.578174769386622e-4,0.0012092504178106305,2.031652025320507e-4,5.489635095814658e-4,2.3795376460945664e-4,3.409279083585782e-4,0.0010339160649405045,0.0014158944765504217,5.260030586103779e-4,6.707234768523866e-4,2.5604381688970775e-4,4.049388625810052e-4
3814,Aveiro,Aveiro,Aveiro_Aveiro,0.007990236937938594,2.3169182343552359e-4,4.870398690836832e-6,3.847614965761097e-4,5.7749013048493864e-5,5.566169932384951e-6,4.578174769386622e-4,0.0012092504178106305,2.031652025320507e-4,5.489635095814658e-4,2.3795376460945664e-4,3.409279083585782e-4,0.0010339160649405045,0.0014158944765504217,5.260030586103779e-4,6.707234768523866e-4,2.5604381688970775e-4,4.049388625810052e-4
3813,Aveiro,Aveiro,Aveiro_Aveiro,0.007990236937938594,2.3169182343552359e-4,4.870398690836832e-6,3.847614965761097e-4,5.7749013048493864e-5,5.566169932384951e-6,4.578174769386622e-4,0.0012092504178106305,2.031652025320507e-4,5.489635095814658e-4,2.3795376460945664e-4,3.409279083585782e-4,0.0010339160649405045,0.0014158944765504217,5.260030586103779e-4,6.707234768523866e-4,2.5604381688970775e-4,4.049388625810052e-4
