year,month,date,postcodes,energy_kwh,energy_normalized
2023,1,2023-01,1000,13064590.186,1
2023,2,2023-02,1000,11791621.134,0.5617583902846853
2023,3,2023-03,1000,11677077.598,0.5223247972053744
2023,4,2023-04,1000,10159870.452,0
2023,5,2023-05,1000,10810723.143,0.22406729412883156
2023,6,2023-06,1000,11104786.487,0.3253036855637652
2023,7,2023-07,1000,11518000.587,0.4675597852360648
2023,8,2023-08,1000,11287512.365,0.3882102289597349
2023,9,2023-09,1000,11087458.007,0.3193380566608563
2023,10,2023-10,1000,11549765.017,0.47849523956861056
2023,11,2023-11,1000,11288401.982,0.3885164949962091
2023,12,2023-12,1000,12548007.042,0.8221573193608492
2023,1,2023-01,1050,21471424.297,0.692116953454419
2023,2,2023-02,1050,19425628.126,0.03473723123929785
2023,3,2023-03,1050,20386995.81,0.3436554069662553
2023,4,2023-04,1050,19317524.252,0
2023,5,2023-05,1050,20471496.585,0.3708082078092205
2023,6,2023-06,1050,21141962.93,0.586250482009609
2023,7,2023-07,1050,22429570.611,1
2023,8,2023-08,1050,22425864.291,0.9988090408777872
2023,9,2023-09,1050,21272011.364,0.6280392020342648
2023,10,2023-10,1050,21371327.887,0.6599527764297026
2023,11,2023-11,1050,19805366.023,0.15675915931945078
2023,12,2023-12,1050,20865382.824,0.4973764505543473
2023,1,2023-01,1070,15381701.005,1
2023,2,2023-02,1070,13896391.682,0.3123868356442039
2023,3,2023-03,1070,14279583.827,0.4897828563246279
2023,4,2023-04,1070,13221606.638,0
2023,5,2023-05,1070,13859565.737,0.29533853184665027
2023,6,2023-06,1070,14196495.111,0.451317538665661
2023,7,2023-07,1070,14699747.179,0.6842944287905728
2023,8,2023-08,1070,14842960.689,0.7505940831889585
2023,9,2023-09,1070,14279691.011,0.4898324763790282
2023,10,2023-10,1070,14796410.517,0.7290440191217814
2023,11,2023-11,1070,13984944.939,0.3533819228741125
2023,12,2023-12,1070,15165074.665,0.8997144090973866
2023,1,2023-01,1100,10579185.63,0.6154844061051477
2023,2,2023-02,1100,9796420.255,0.244670629210101
2023,3,2023-03,1100,9952979.294,0.31883620987167344
2023,4,2023-04,1100,9279935.408,0
2023,5,2023-05,1100,9917989.177,0.30226059493882107
2023,6,2023-06,1100,10470872.236,0.5641738857369444
2023,7,2023-07,1100,11301549.02,0.9576843877236615
2023,8,2023-08,1100,11390874.709,1
2023,9,2023-09,1100,10732011.988,0.6878817308068108
2023,10,2023-10,1100,10641299.384,0.6449091053234407
2023,11,2023-11,1100,9810733.024,0.2514509136991998
2023,12,2023-12,1100,10711455.875,0.6781438321423339
2023,1,2023-01,1150,10457199.87,1
2023,2,2023-02,1150,9589906.295,0.5645825781927463
2023,3,2023-03,1150,9395495.007,0.4669800313375043
2023,4,2023-04,1150,8465332.913,0
2023,5,2023-05,1150,8933495.691,0.2350371727161491
2023,6,2023-06,1150,9279262.224,0.4086263433105384
2023,7,2023-07,1150,9776627.791,0.6583245298546311
2023,8,2023-08,1150,9806481.335,0.6733122497397808
2023,9,2023-09,1150,9346781.459,0.442523805569611
2023,10,2023-10,1150,9497226.148,0.5180532923514932
2023,11,2023-11,1150,9069098.095,0.30311521554097476
2023,12,2023-12,1150,10133108.172,0.8372924974426396
2023,1,2023-01,1170,7204438.591,1
2023,2,2023-02,1170,6597993.628,0.7242671854913914
2023,3,2023-03,1170,6057607.428,0.4785693613879178
2023,4,2023-04,1170,5005045.08,0
2023,5,2023-05,1170,5140494,0.06158466837451715
2023,6,2023-06,1170,5155154.273,0.06825026637991202
2023,7,2023-07,1170,5322343.857,0.14426648774449338
2023,8,2023-08,1170,5265561.335,0.11844913322561854
2023,9,2023-09,1170,5177050.564,0.07820587045462106
2023,10,2023-10,1170,5542499.216,0.24436470022848947
2023,11,2023-11,1170,5846971.045,0.38279914930602876
2023,12,2023-12,1170,7115116.983,0.9593880733241829
2023,1,2023-01,1200,18473839.04,0.9584484336023222
2023,2,2023-02,1200,16958546.966,0.49818366675250303
2023,3,2023-03,1200,17074775.686,0.533487741544393
2023,4,2023-04,1200,15318417.597,0
2023,5,2023-05,1200,16183560.726,0.2627842561795833
2023,6,2023-06,1200,16863323.985,0.469260013088154
2023,7,2023-07,1200,17844060.041,0.7671552241179793
2023,8,2023-08,1200,17769550.349,0.7445231608973856
2023,9,2023-09,1200,16980455.338,0.5048382595558703
2023,10,2023-10,1200,17300444.552,0.6020338850747083
2023,11,2023-11,1200,16667165.854,0.4096776540304171
2023,12,2023-12,1200,18610635.866,1
2023,1,2023-01,1250,13673786.558,0.9779741119897956
2023,2,2023-02,1250,12435531.612,0.40314286259792076
2023,3,2023-03,1250,12576224.566,0.46845631584897157
2023,4,2023-04,1250,11567113.891,0
2023,5,2023-05,1250,12449234.139,0.4095039441673347
2023,6,2023-06,1250,13021698.234,0.6752571737618145
2023,7,2023-07,1250,13721232.943,1
2023,8,2023-08,1250,13660193.316,0.971663763456654
2023,9,2023-09,1250,13013776.05,0.6715794828780896
2023,10,2023-10,1250,13160954.457,0.7399036578410989
2023,11,2023-11,1250,12348247.964,0.36262344566088506
2023,12,2023-12,1250,13210800.47,0.7630435177080457
2023,1,2023-01,1300,11594278.74,0.990466578857623
2023,2,2023-02,1300,10457466.861,0.47605866605642583
2023,3,2023-03,1300,10442248.964,0.46917256046798
2023,4,2023-04,1300,9405404.61,0
2023,5,2023-05,1300,9898428.752,0.22309365738675693
2023,6,2023-06,1300,10192395.073,0.35611355664438676
2023,7,2023-07,1300,10665902.295,0.5703757985023579
2023,8,2023-08,1300,10606065.091,0.5432994353976938
2023,9,2023-09,1300,10312173.178,0.4103132057952485
2023,10,2023-10,1300,10695210.314,0.5836376909584688
2023,11,2023-11,1300,10439238.07,0.4678101295092467
2023,12,2023-12,1300,11615347.052,1
2023,1,2023-01,1349,59636.29,1
2023,2,2023-02,1349,53815.674,0.6327748926879275
2023,3,2023-03,1349,50843.746,0.4452747073598191
2023,4,2023-04,1349,43786.023,0
2023,5,2023-05,1349,44662.171,0.05527654518374997
2023,6,2023-06,1349,45151.096,0.08612302871617221
2023,7,2023-07,1349,47829.612,0.25511172777089497
2023,8,2023-08,1349,48126.549,0.2738456077743042
2023,9,2023-09,1349,44773.272,0.062285953921154526
2023,10,2023-10,1349,45305.116,0.09584021518375689
2023,11,2023-11,1349,45678.185,0.11937729503231691
2023,12,2023-12,1349,50769.266,0.4405757328882852
2023,1,2023-01,1350,8450748.307,1
2023,2,2023-02,1350,7740899.107,0.6141926499196644
2023,3,2023-03,1350,7581681.556,0.5276569442548688
2023,4,2023-04,1350,6610842.458,0
2023,5,2023-05,1350,6945570.977,0.18192698239528246
2023,6,2023-06,1350,7040403.595,0.233469086058653
2023,7,2023-07,1350,7259255.448,0.3524163969327107
2023,8,2023-08,1350,7164284.478,0.30079909811733
2023,9,2023-09,1350,6968858.29,0.19458377840071767
2023,10,2023-10,1350,7374823.954,0.4152285816229285
2023,11,2023-11,1350,7383034.496,0.4196910610505921
2023,12,2023-12,1350,8341818.334,0.9407958983014243
2023,1,2023-01,1400,7815507.759,1
2023,2,2023-02,1400,7023560.561,0.6008751430208344
2023,3,2023-03,1400,6840732.559,0.5087336462969122
2023,4,2023-04,1400,5831298.597,0
2023,5,2023-05,1400,5954128.179,0.06190354542874523
2023,6,2023-06,1400,6015998.203,0.09308474607275286
2023,7,2023-07,1400,6346112.822,0.25945562335832
2023,8,2023-08,1400,6280430.154,0.22635292972203308
2023,9,2023-09,1400,6171291.046,0.17134909741939802
2023,10,2023-10,1400,6521499.983,0.347847091535605
2023,11,2023-11,1400,6735064.009,0.45547890278313297
2023,12,2023-12,1400,7712925.986,0.94830092766198
