postcodes,district,county,district_county
3750,Aveiro,Águeda,Aveiro_Águeda
3754,Aveiro,Águeda,Aveiro_Águeda
3850,Aveiro,Albergaria-a-Velha,Aveiro_Albergaria-a-Velha
3780,Aveiro,Anadia,Aveiro_Anadia
4540,Aveiro,Arouca,Aveiro_Arouca
3810,Aveiro,Aveiro,Aveiro_Aveiro
3800,Aveiro,Aveiro,Aveiro_Aveiro
3804,Aveiro,Aveiro,Aveiro_Aveiro
3814,Aveiro,Aveiro,Aveiro_Aveiro
3813,Aveiro,Aveiro,Aveiro_Aveiro
4550,Aveiro,Castelo de Paiva,Aveiro_Castelo de Paiva
4500,Aveiro,Espinho,Aveiro_Espinho
4504,Aveiro,Espinho,Aveiro_Espinho
3860,Aveiro,Estarreja,Aveiro_Estarreja
3864,Aveiro,Estarreja,Aveiro_Estarreja
3870,Aveiro,Murtosa,Aveiro_Murtosa
3865,Aveiro,Estarreja,Aveiro_Estarreja
3830,Aveiro,Ílhavo,Aveiro_Ílhavo
3050,Aveiro,Mealhada,Aveiro_Mealhada
3054,Aveiro,Mealhada,Aveiro_Mealhada
3720,Aveiro,Oliveira de Azeméis,Aveiro_Oliveira de Azeméis
3700,Aveiro,Oliveira de Azeméis,Aveiro_Oliveira de Azeméis
3770,Aveiro,Oliveira do Bairro,Aveiro_Oliveira do Bairro
3774,Aveiro,Oliveira do Bairro,Aveiro_Oliveira do Bairro
3885,Aveiro,Ovar,Aveiro_Ovar
3880,Aveiro,Ovar,Aveiro_Ovar
3884,Aveiro,Ovar,Aveiro_Ovar
4505,Aveiro,Santa Maria da Feira,Aveiro_Santa Maria da Feira
3700,Aveiro,Santa Maria da Feira,Aveiro_Santa Maria da Feira
4525,Aveiro,Santa Maria da Feira,Aveiro_Santa Maria da Feira
4520,Aveiro,Santa Maria da Feira,Aveiro_Santa Maria da Feira
4535,Aveiro,Santa Maria da Feira,Aveiro_Santa Maria da Feira
4500,Aveiro,Santa Maria da Feira,Aveiro_Santa Maria da Feira
3700,Aveiro,São João da Madeira,Aveiro_São João da Madeira
3701,Aveiro,São João da Madeira,Aveiro_São João da Madeira
3740,Aveiro,Sever do Vouga,Aveiro_Sever do Vouga
3744,Aveiro,Sever do Vouga,Aveiro_Sever do Vouga
3840,Aveiro,Vagos,Aveiro_Vagos
3730,Aveiro,Vale de Cambra,Aveiro_Vale de Cambra
3734,Aveiro,Vale de Cambra,Aveiro_Vale de Cambra
7600,Beja,Aljustrel,Beja_Aljustrel
7604,Beja,Aljustrel,Beja_Aljustrel
7700,Beja,Almodôvar,Beja_Almodôvar
7920,Beja,Alvito,Beja_Alvito
7924,Beja,Alvito,Beja_Alvito
7230,Beja,Barrancos,Beja_Barrancos
7800,Beja,Beja,Beja_Beja
7801,Beja,Beja,Beja_Beja
7780,Beja,Castro Verde,Beja_Castro Verde
7940,Beja,Cuba,Beja_Cuba
7900,Beja,Ferreira do Alentejo,Beja_Ferreira do Alentejo
7750,Beja,Mértola,Beja_Mértola
7754,Beja,Mértola,Beja_Mértola
7885,Beja,Moura,Beja_Moura
7875,Beja,Moura,Beja_Moura
7860,Beja,Moura,Beja_Moura
7864,Beja,Moura,Beja_Moura
7630,Beja,Odemira,Beja_Odemira
7665,Beja,Odemira,Beja_Odemira
7645,Beja,Odemira,Beja_Odemira
7670,Beja,Ourique,Beja_Ourique
